会议或期刊名,年份,带开源仓库的文章数,本地PDF数,本地仓库数
AAAI,2020,5,3,4
AAAI,2021,5,2,2
AAAI,2022,5,3,5
AAAI,2023,5,5,5
AAAI,2024,5,3,5
AAAI,2025,5,2,5
AAAI,2026,5,0,5
ACL,2020,5,4,4
ACL,2022,1,1,1
ASE,2023,1,0,1
ASPLOS,2021,1,0,1
CCS,2022,1,0,1
CHI,2021,1,0,1
CVPR,2020,5,5,5
CVPR,2021,5,4,3
CVPR,2022,5,0,5
CVPR,2023,5,0,3
CVPR,2024,5,0,4
CVPR,2025,5,5,4
EMNLP,2021,1,1,1
EMNLP,2022,5,5,5
EMNLP,2023,5,5,5
EMNLP,2024,5,5,5
EMNLP,2025,5,5,5
EuroSys,2021,1,0,1
EuroSys,2022,2,0,2
FOCS,2022,1,0,1
FSE,2023,1,0,1
HPCA,2022,1,0,1
ICCV,2021,5,0,5
ICCV,2023,5,0,5
ICCV,2025,5,0,3
ICDE,2020,1,0,1
ICDE,2022,2,0,2
ICLR,2020,5,0,5
ICLR,2021,5,0,5
ICLR,2022,5,0,2
ICLR,2023,5,0,3
ICLR,2024,5,0,5
ICLR,2025,5,0,3
ICML,2020,5,5,5
ICML,2021,5,3,3
ICML,2022,5,5,5
ICML,2023,5,0,0
ICML,2024,5,0,0
ICML,2025,5,0,0
ICSE,2020,5,0,0
ICSE,2021,5,0,0
ICSE,2022,5,0,0
ICSE,2023,1,0,0
TACL,2021,1,0,0
TACL,2025,2,0,0
TPAMI,2020,1,0,0
TPAMI,2021,3,0,0
TPAMI,2022,2,0,0
TPAMI,2024,3,0,0
TPAMI,2025,3,0,0
TPAMI,2026,3,1,0
TSE,2026,1,0,0
